Pre_R_Mean,Pre_G_Mean,Pre_B_Mean,Pre_R_Std,Pre_G_Std,Pre_B_Std,Pre_GND_Mean,Pre_GND_Std,Pre_GND_Q25,Pre_GND_Q50,Pre_GND_Q75,Pre_GND_Q90,Pre_GND_Q95,Pre_GND_Q99,Pre_GND_IQR,Pre_GND_Peak,Pre_GND_Skewness,Pre_GND_Kurtosis,Pre_GND_CV,Pre_GND_HighRatio,Pre_GND_LowRatio,Process_Temp,Process_Time,Process_H2,Process_Ar,Target_103,Target_102,Target_301,Target_114,Target_115,Target_105,Target_124,Target_125,Target_214,TARGET_Yield,Sample_ID,Target_Scheme
214.33559782608697,58.983695652173914,57.14673913043478,83.54893557570075,80.07180284817862,87.02895094322022,0.03597004830917874,0.013091191482392017,0.028725,0.0377,0.0457,0.052669999999999995,0.053935,0.0556,0.016974999999999997,0.0376,-0.6463699463559873,-0.029382964413286583,0.36394700862971713,0.0,0.016908212560386472,1380,6.0,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,5,3
214.33559782608697,58.983695652173914,57.14673913043478,83.54893557570075,80.07180284817862,87.02895094322022,0.03597004830917874,0.013091191482392017,0.028725,0.0377,0.0457,0.052669999999999995,0.053935,0.0556,0.016974999999999997,0.0376,-0.6463699463559873,-0.029382964413286583,0.36394700862971713,0.0,0.016908212560386472,1380,6.0,100,500,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5,4
242.1141304347826,34.62092391304348,30.349184782608695,48.01720798468179,52.2516313291766,58.11980658692752,0.036772708757637475,0.013568706065071602,0.03025,0.04,0.04615,0.0512,0.05425,0.0562,0.015899999999999997,0.0451,-1.0077197904967885,0.5064314466596365,0.36898848421802655,0.0,0.06924643584521385,1380,6.0,100,500,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1
242.1141304347826,34.62092391304348,30.349184782608695,48.01720798468179,52.2516313291766,58.11980658692752,0.036772708757637475,0.013568706065071602,0.03025,0.04,0.04615,0.0512,0.05425,0.0562,0.015899999999999997,0.0451,-1.0077197904967885,0.5064314466596365,0.36898848421802655,0.0,0.06924643584521385,1380,6.0,100,500,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6,2
242.1141304347826,34.62092391304348,30.349184782608695,48.01720798468179,52.2516313291766,58.11980658692752,0.036772708757637475,0.013568706065071602,0.03025,0.04,0.04615,0.0512,0.05425,0.0562,0.015899999999999997,0.0451,-1.0077197904967885,0.5064314466596365,0.36898848421802655,0.0,0.06924643584521385,1380,6.0,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,6,3
242.1141304347826,34.62092391304348,30.349184782608695,48.01720798468179,52.2516313291766,58.11980658692752,0.036772708757637475,0.013568706065071602,0.03025,0.04,0.04615,0.0512,0.05425,0.0562,0.015899999999999997,0.0451,-1.0077197904967885,0.5064314466596365,0.36898848421802655,0.0,0.06924643584521385,1380,6.0,100,500,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6,4
239.3070652173913,43.744565217391305,38.23233695652174,53.60567290597016,51.11126955168357,65.62915054972251,0.037317681728880156,0.012868587835607917,0.0322,0.0401,0.0457,0.05072,0.053759999999999995,0.055992,0.013499999999999998,0.0411,-1.2070898847134266,1.2364319887031736,0.34483888707504884,0.0,0.08055009823182711,1380,6.0,100,500,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1
239.3070652173913,43.744565217391305,38.23233695652174,53.60567290597016,51.11126955168357,65.62915054972251,0.037317681728880156,0.012868587835607917,0.0322,0.0401,0.0457,0.05072,0.053759999999999995,0.055992,0.013499999999999998,0.0411,-1.2070898847134266,1.2364319887031736,0.34483888707504884,0.0,0.08055009823182711,1380,6.0,100,500,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7,2
239.3070652173913,43.744565217391305,38.23233695652174,53.60567290597016,51.11126955168357,65.62915054972251,0.037317681728880156,0.012868587835607917,0.0322,0.0401,0.0457,0.05072,0.053759999999999995,0.055992,0.013499999999999998,0.0411,-1.2070898847134266,1.2364319887031736,0.34483888707504884,0.0,0.08055009823182711,1380,6.0,100,500,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,7,3
239.3070652173913,43.744565217391305,38.23233695652174,53.60567290597016,51.11126955168357,65.62915054972251,0.037317681728880156,0.012868587835607917,0.0322,0.0401,0.0457,0.05072,0.053759999999999995,0.055992,0.013499999999999998,0.0411,-1.2070898847134266,1.2364319887031736,0.34483888707504884,0.0,0.08055009823182711,1380,6.0,100,500,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7,4
